Event,Country,First Run,Next Anniversary,Anniversary Number
Tallangatta Station parkrun,Australia,29/04/2023,27/04/2024,1
Tamagawa chuo koen parkrun,Japan,24/04/2021,27/04/2024,3
Tauranga parkrun,New Zealand,28/04/2018,27/04/2024,6
Vaal Marina parkrun,South Africa,28/04/2018,27/04/2024,6
Winchester parkrun,United Kingdom,27/04/2013,27/04/2024,11
Yackandandah Rail Trail parkrun,Australia,22/04/2023,27/04/2024,1
Yeldulknie Weir Trail parkrun,Australia,27/04/2019,27/04/2024,5
Abingdon parkrun,United Kingdom,07/05/2011,04/05/2024,13
Applecross parkrun,Australia,06/05/2017,04/05/2024,7
Ashbourne Recreation Ground parkrun,United Kingdom,07/05/2022,04/05/2024,2
Aviemore parkrun,United Kingdom,06/05/2017,04/05/2024,7
Balclutha parkrun,New Zealand,05/05/2018,04/05/2024,6
Barry Island parkrun,United Kingdom,02/05/2015,04/05/2024,9
Batemans Bay parkrun,Australia,07/05/2016,04/05/2024,8
Beach Strip parkrun,Canada,06/05/2017,04/05/2024,7
Belfast Victoria parkrun,United Kingdom,07/05/2011,04/05/2024,13
Big Bay parkrun,South Africa,04/05/2013,04/05/2024,11
Blaise Castle parkrun,United Kingdom,06/05/2023,04/05/2024,1
"Charleston parkrun, West Virginia",United States,05/05/2018,04/05/2024,6
Cleveland parkrun,Australia,04/05/2013,04/05/2024,11
"Eastern Trail parkrun, Biddeford",United States,06/05/2023,04/05/2024,1
Echuca Moama parkrun,Australia,06/05/2017,04/05/2024,7
Elliott Heads Beach parkrun,Australia,07/05/2022,04/05/2024,2
Fuldaaue parkrun,Germany,07/05/2022,04/05/2024,2
Gadebridge parkrun,United Kingdom,02/05/2015,04/05/2024,9
Hanworth parkrun,United Kingdom,04/05/2019,04/05/2024,5
Harkerville parkrun,South Africa,05/05/2018,04/05/2024,6
Inibos parkrun,South Africa,07/05/2022,04/05/2024,2
Kräherwald parkrun,Germany,05/05/2018,04/05/2024,6
Lower Hutt parkrun,New Zealand,05/05/2012,04/05/2024,12
Mbabane parkrun,South Africa,06/05/2017,04/05/2024,7
Medina I.O.W. parkrun,United Kingdom,07/05/2011,04/05/2024,13
Northampton parkrun,United Kingdom,05/05/2012,04/05/2024,12
Nulkaba parkrun,Australia,05/05/2018,04/05/2024,6
O’Connors Beach parkrun,Australia,06/05/2023,04/05/2024,1
Parkindula Reserve parkrun,Australia,06/05/2023,04/05/2024,1
"parkrun Błonie, Krotoszyn",Poland,06/05/2023,04/05/2024,1
parkrun Jezioro Swarzędzkie,Poland,04/05/2019,04/05/2024,5
parkrun Katowice,Poland,07/05/2016,04/05/2024,8
parkrun Opole,Poland,02/05/2015,04/05/2024,9
Pontefract parkrun,United Kingdom,07/05/2011,04/05/2024,13
Prospect parkrun,United Kingdom,05/05/2018,04/05/2024,6
Raphael parkrun,United Kingdom,02/05/2015,04/05/2024,9
Rhodes parkrun,Australia,02/05/2015,04/05/2024,9
Richards Bay parkrun,South Africa,07/05/2016,04/05/2024,8
Rushmoor parkrun,United Kingdom,03/05/2014,04/05/2024,10
Salento parkrun,Italy,05/05/2018,04/05/2024,6
Shiraz Trail parkrun,Australia,04/05/2019,04/05/2024,5
Stadtpark parkrun,Germany,06/05/2023,04/05/2024,1
Stamford Park parkrun,United Kingdom,02/05/2015,04/05/2024,9
Street parkrun,United Kingdom,05/05/2018,04/05/2024,6
"Thames Path parkrun, Woolwich",United Kingdom,06/05/2023,04/05/2024,1
"Tollcross parkrun, Glasgow",United Kingdom,04/05/2013,04/05/2024,11
Uckfield parkrun,United Kingdom,04/05/2019,04/05/2024,5
Uppsala parkrun,Sweden,05/05/2018,04/05/2024,6
Volksgarten parkrun,Germany,04/05/2019,04/05/2024,5
Waterfall parkrun,South Africa,05/05/2018,04/05/2024,6
Altona Beach parkrun,Australia,09/05/2015,11/05/2024,9
Bedfont Lakes parkrun,United Kingdom,09/05/2009,11/05/2024,15
Brabrand parkrun,Denmark,08/05/2010,11/05/2024,14
Canton Lower Rouge Trail parkrun,United States,13/05/2023,11/05/2024,1
Century City parkrun,South Africa,14/05/2016,11/05/2024,8
Curl Curl parkrun,Australia,11/05/2013,11/05/2024,11
Dartford Heath parkrun,United Kingdom,12/05/2018,11/05/2024,6
Dixon Field parkrun,Australia,13/05/2023,11/05/2024,1
Eastleigh parkrun,United Kingdom,08/05/2010,11/05/2024,14
Ekebergsletta parkrun,Norway,14/05/2022,11/05/2024,2
Erddig parkrun,United Kingdom,14/05/2016,11/05/2024,8
Gisborne parkrun,New Zealand,12/05/2018,11/05/2024,6
