Event,Country,First Run,Next Anniversary,Anniversary Number
Mewsbrook junior parkrun,United Kingdom,21/01/2024,19/01/2025,1
Northlands junior parkrun,United Kingdom,19/01/2020,19/01/2025,5
Round Lake junior parkrun,United Kingdom,21/01/2024,19/01/2025,1
Southampton Common junior parkrun,United Kingdom,16/01/2022,19/01/2025,3
Whitelands Farm junior parkrun,United Kingdom,19/01/2020,19/01/2025,5
Wimbledon Park junior parkrun,United Kingdom,19/01/2014,19/01/2025,11
Forest of Dean junior parkrun,United Kingdom,29/01/2011,25/01/2025,14
Beckenham Place junior parkrun,United Kingdom,23/01/2022,26/01/2025,3
Bognor Regis junior parkrun,United Kingdom,22/01/2017,26/01/2025,8
Bude Marshes junior parkrun,United Kingdom,30/01/2022,26/01/2025,3
Derby Park junior parkrun,United Kingdom,26/01/2020,26/01/2025,5
Drumpellier junior parkrun,United Kingdom,26/01/2020,26/01/2025,5
Eastney junior parkrun,United Kingdom,25/01/2015,26/01/2025,10
Herne Bay Memorial Park junior parkrun,United Kingdom,23/01/2022,26/01/2025,3
Hertford junior parkrun,United Kingdom,28/01/2018,26/01/2025,7
Mellowes Park junior parkrun,Ireland,23/01/2022,26/01/2025,3
Newbridge House junior parkrun,Ireland,29/01/2023,26/01/2025,2
Paddington Rec junior parkrun,United Kingdom,27/01/2019,26/01/2025,6
Rossmere junior parkrun,United Kingdom,29/01/2017,26/01/2025,8
Staveley junior parkrun,United Kingdom,28/01/2018,26/01/2025,7
Worthing Leisure Centre junior parkrun,United Kingdom,26/01/2020,26/01/2025,5
Bray junior parkrun,Ireland,05/02/2017,02/02/2025,8
Caledonian junior parkrun,United Kingdom,02/02/2020,02/02/2025,5
Chippenham junior parkrun,United Kingdom,07/02/2016,02/02/2025,9
Gardenhurst Estate junior parkrun,United Kingdom,02/02/2020,02/02/2025,5
Hawkwell junior parkrun,United Kingdom,04/02/2018,02/02/2025,7
Park View junior parkrun,United Kingdom,05/02/2017,02/02/2025,8
Pinner Village Gardens junior parkrun,United Kingdom,06/02/2022,02/02/2025,3
Rushcliffe junior parkrun,United Kingdom,02/02/2014,02/02/2025,11
St Anne’s junior parkrun,Ireland,05/02/2017,02/02/2025,8
Sutton Lawn junior parkrun,United Kingdom,02/02/2020,02/02/2025,5
Wycombe Rye junior parkrun,United Kingdom,05/02/2017,02/02/2025,8
Burgess junior parkrun,United Kingdom,10/02/2019,09/02/2025,6
Cardiff junior parkrun,United Kingdom,08/02/2015,09/02/2025,10
Mote Park junior parkrun,United Kingdom,11/02/2024,09/02/2025,1
Riverside junior parkrun,United Kingdom,10/02/2019,09/02/2025,6
Birchwood Leisure Centre junior parkrun,United Kingdom,18/02/2024,16/02/2025,1
Rockfield junior parkrun,Ireland,16/02/2020,16/02/2025,5
Worden Park junior parkrun,United Kingdom,16/02/2020,16/02/2025,5
Worksop College junior parkrun,United Kingdom,17/02/2019,16/02/2025,6
Bellevue Park junior parkrun,Australia,28/02/2021,23/02/2025,4
Bodington junior parkrun,United Kingdom,25/02/2018,23/02/2025,7
Cobb Gate junior parkrun,United Kingdom,27/02/2022,23/02/2025,3
Eltham junior parkrun,United Kingdom,28/02/2016,23/02/2025,9
Shrewsbury junior parkrun,United Kingdom,26/02/2017,23/02/2025,8
Town Moor junior parkrun,United Kingdom,28/02/2016,23/02/2025,9
Archerfield Walled Garden junior parkrun,United Kingdom,06/03/2022,02/03/2025,3
"Cannon Hill junior parkrun, Birmingham",United Kingdom,06/03/2016,02/03/2025,9
Dumfries junior parkrun,United Kingdom,06/03/2016,02/03/2025,9
Eastville junior parkrun,United Kingdom,05/03/2017,02/03/2025,8
Jacks Road junior parkrun,United Kingdom,04/03/2018,02/03/2025,7
Lutterworth Country Park junior parkrun,United Kingdom,06/03/2022,02/03/2025,3
Magherafelt junior parkrun,United Kingdom,04/03/2018,02/03/2025,7
Swansea Prom junior parkrun,United Kingdom,01/03/2020,02/03/2025,5
Andover junior parkrun,United Kingdom,12/03/2017,09/03/2025,8
Cherry Orchard junior parkrun,Ireland,08/03/2020,09/03/2025,5
Cleveragh junior parkrun,Ireland,10/03/2024,09/03/2025,1
Dowds Farm junior parkrun,United Kingdom,08/03/2020,09/03/2025,5
Enfield Town junior parkrun,United Kingdom,08/03/2020,09/03/2025,5
Figges Marsh junior parkrun,United Kingdom,13/03/2022,09/03/2025,3
Highbury Fields junior parkrun,United Kingdom,08/03/2015,09/03/2025,10
Horfield Common junior parkrun,United Kingdom,10/03/2024,09/03/2025,1
Lurgan junior parkrun,United Kingdom,11/03/2018,09/03/2025,7
Medina I.O.W junior parkrun,United Kingdom,11/03/2018,09/03/2025,7
Priory Park junior parkrun,United Kingdom,11/03/2018,09/03/2025,7
Ramsbottom junior parkrun,United Kingdom,11/03/2018,09/03/2025,7
Swanscombe Heritage Park junior parkrun,United Kingdom,10/03/2024,09/03/2025,1
Bath Odd Down junior parkrun,United Kingdom,19/03/2017,16/03/2025,8
Cassiobury junior parkrun,United Kingdom,19/03/2023,16/03/2025,2
Eaton junior parkrun,United Kingdom,15/03/2015,16/03/2025,10
Mildenhall Hub junior parkrun,United Kingdom,19/03/2023,16/03/2025,2
Norfolk Road Playing Fields junior parkrun,United Kingdom,17/03/2024,16/03/2025,1
"Queen’s Park junior parkrun, Bolton",United Kingdom,20/03/2016,16/03/2025,9
Rosehill Victoria junior parkrun,United Kingdom,20/03/2022,16/03/2025,3
Eastbourne junior parkrun,United Kingdom,25/03/2018,23/03/2025,7
Gnoll junior parkrun,United Kingdom,26/03/2017,23/03/2025,8
Greville Smyth Park junior parkrun,United Kingdom,24/03/2024,23/03/2025,1
Hucknall junior parkrun,United Kingdom,27/03/2016,23/03/2025,9
King’s Lynn junior parkrun,United Kingdom,25/03/2018,23/03/2025,7
"Nursery Drive junior parkrun, Ballinlough",Ireland,26/03/2023,23/03/2025,2
Par Track junior parkrun,United Kingdom,24/03/2019,23/03/2025,6
Pinehill junior parkrun,United Kingdom,26/03/2017,23/03/2025,8
Stonehouse junior parkrun,United Kingdom,25/03/2018,23/03/2025,7
Tooting Common junior parkrun,United Kingdom,24/03/2019,23/03/2025,6
Alderman Kneeshaw junior parkrun,United Kingdom,31/03/2019,30/03/2025,6
Harrow Lodge junior parkrun,United Kingdom,30/03/2014,30/03/2025,11
Newport junior parkrun,United Kingdom,30/03/2014,30/03/2025,11
Wimpole Estate junior parkrun,United Kingdom,29/03/2015,30/03/2025,10
Bangor junior parkrun,United Kingdom,03/04/2016,06/04/2025,9
Bushy junior parkrun,United Kingdom,04/04/2010,06/04/2025,15
Des Connor Park junior parkrun,Australia,04/04/2021,06/04/2025,4
Falinge Park junior parkrun,United Kingdom,07/04/2024,06/04/2025,1
Merthyr Leisure Village junior parkrun,United Kingdom,07/04/2024,06/04/2025,1
St Mary’s Campus junior parkrun,Ireland,02/04/2023,06/04/2025,2
Woodley junior parkrun,United Kingdom,07/04/2013,06/04/2025,12
